Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
-,Kate Kilpatrick,Old Dominion,Fr.,5-8,L,117,374
219,Gianna Bartalo,Denver,Sr.,5-7,L/DS,96,373
-,Maile Somera,Yale,Sr.,5-9,L,86,373
221,Jadyn Barry,UNCW,Sr.,5-4,L,101,372
-,Emma Best,Green Bay,So.,5-10,OH,124,372
223,Abby Wadas,San Francisco,So.,5-9,L,106,371
224,Madison Grimm,Duquesne,So.,5-8,DS,101,370
225,Kailey Keeble,South Alabama,Sr.,5-8,S,114,369
-,Ariana Pagan,SFA,Sr.,5-11,OH,120,369
227,Loren Johnson,N.C. Central,Jr.,5-6,DS,96,368
-,Taylor Oberpriller,Drake,Sr.,6-0,RS,126,368
229,Lily Liekweg,Idaho St.,Sr.,5-5,L/DS,99,366
230,Jaci Mesa,Troy,So.,5-7,DS,105,365
231,Angeles Alderete,East Carolina,So.,6-0,OH,118,364
-,Taylor Quan,North Dakota St.,Sr.,5-6,L/DS,111,364
-,Alissa Santoyo,Southern U.,Sr.,5-4,L/DS,89,364
234,Avery LePore,New Hampshire,So.,5-6,L/DS,71,363
-,Breanna Mitchell,Boise St.,So.,5-6,L/DS,105,363
-,Jill Pressly,DePaul,Sr.,5-11,OH,116,363
237,Luanna Emiliano,UTRGV,Jr.,5-7,S,114,362
238,Keyana Cruse,Western Ill.,Jr.,6-1,OH,115,361
-,Jillian Gillen,Arkansas,Sr.,5-7,OH,127,361
240,Peyton Dueck,UCLA,Jr.,5-7,L/DS,114,358
-,Sam Hastings,LMU (CA),Sr.,5-8,L,91,358
242,Lauren Briseno,Baylor,Jr.,5-7,L/DS,114,356
-,Riley Patterson,Pepperdine,Sr.,5-7,L/DS,96,356
244,Abi Banitt,SIUE,Fr.,5-7,DS,106,355
-,Rose McDermott,Loyola Maryland,Jr.,5-6,L/DS,89,355
246,Isidora Sisic,Youngstown St.,Sr.,6-0,OH,113,354
247,Mariela Nieto,UIW,Sr.,5-4,L/DS,101,353
-,Bella Ravotto,Valparaiso,Sr.,5-8,OH,119,353
249,Joy Banks,Northern Ky.,Jr.,5-10,OH,121,352
-,Camryn Hill,SFA,So.,5-10,OH,117,352
-,Kenady Roper,App State,So.,5-8,L/DS,90,352
252,Bree Borum,Loyola Chicago,Jr.,6-0,S,107,351
-,Morgan Carter,South Carolina,Jr.,5-9,DS,95,351
254,Kamryn Olson,Belmont,Sr.,5-8,S,129,350
-,Bella Peroni,Niagara,Jr.,5-5,L,88,350
-,Chloe Scheer,UCF,Sr.,5-8,L/DS,104,350
257,Keegan O'Connor,Rider,So.,5-4,L/DS,98,347
-,Lara Uyar,East Carolina,Jr.,5-2,L/DS,98,347
259,Malgorzata Andersohn,ETSU,Sr.,5-8,S,109,346
-,Kayley Cassaday,Tulsa,Sr.,5-11,OH,123,346
-,Megan Nishimura,Pacific,Jr.,5-8,L,109,346
-,Amina Robinson,George Washington,So.,5-6,DS,108,346
263,Ali Hinze,North Dakota St.,Sr.,6-0,OH,111,345
-,Briana McKnight,UC Santa Barbara,Sr.,5-10,OH,121,345
265,Emmy Klika,Pittsburgh,Jr.,5-7,L/DS,114,344
-,Kylee Owens,Prairie View,So.,5-11,OH,117,344
267,Alexis McDaniel,Central Ark.,So.,5-3,L/DS,103,343
268,Uxue Guereca,New Mexico,Sr.,5-7,OH,114,342
-,Karly Klaer,Cleveland St.,So.,5-10,S,115,342
270,Elaine Redman,Chattanooga,Jr.,6-1,S,122,340
271,Lindsay Kahren,William & Mary,So.,5-7,L,103,339
-,Doga Kutlu,UConn,Jr.,5-10,S,113,339
273,Michaela Boon,Northern Colo.,Sr.,5-6,DS,113,338
274,Gylian Finch,Chattanooga,Sr.,5-10,OH,118,337
-,Emery Herman,Colorado St.,Sr.,6-0,S,127,337
276,Chiara Cucco,Hofstra,Jr.,5-6,L/DS,104,336
-,Sydney Dennis,Iowa,So.,5-5,L,81,336
-,Nataly Garcia,Southern Ill.,Sr.,5-11,OH,118,336
-,Dani Richins,Weber St.,Sr.,5-10,OH,113,336
280,Callie Martin,Wright St.,Sr.,6-1,RS,117,335
